Title,Source,Date
Tory senators kill climate change bill; NDP outraged over tactic used to trump House,Calgary Herald,2010-11-18
Trump: Blame green policy,The Herald,2014-09-20
Bill to trump local bans on fracking advances,Naples Daily News,2015-12-03
House OKs bill to trump local bans on fracking,Naples Daily News,2016-01-28
Trump Stresses Fossil Fuel Agenda In Energy Policy Speech,RTTNews,2016-09-23
"On the issues Our view: In case anyone is deciding between Donald Trump and Hillary Clinton based on where they stand on policy, we offer a primer on their views Taxes Climate change Syria/ISIS Health care Supreme Court",The Baltimore Sun,2016-11-07
"Will Trump bring a U-turn on climate policy? Probably, but ...",Daily News,2016-11-10
"Trump's climate views are a trial for Trudeau: President-elect will shift U.S. energy policy to emphasize domestic sources of coal, oil and natural gas",The Globe and Mail,2016-11-10
Australia ratifies Paris agreement amid fears of Trump withdrawal,Yerepouni Daily News,2016-11-10
What will Donald Trump presidency mean for global and US climate policy? [Policy],The Economic Times,2016-11-11
Could greener business win out in Trump's climate policy?,The Christian Science Monitor,2016-11-11
How Trump turned the lights out in Marrakesh: His victory likely to spur withdrawal of funding for climate change efforts,The Pretoria News,2016-11-11
Trump Presidency Threatens US Climate Policy Leadership,Morocco World News,2016-11-12
Trump to slash and burn Obama climate policy: VIEW FROM THE US,Financial Times,2016-11-14
Kerry: Trump doesn't 'have a right' to ignore climate policy,Washington Examiner,2016-11-16
"Climate policy to be set by Trump, but not by him alone",The Christian Science Monitor,2016-11-17
"Canada firm on climate policy, despite Trump win: Ottawa: 'We're moving forward,' Environment Minister says at UN strategy summit",The Globe and Mail,2016-11-18
Trump Can Ax the Clean Power Plan by Executive Order,The Wall Street Journal Asia,2016-11-22
Siege on climate policy under Trump? It happened in Canada.,The Christian Science Monitor,2016-11-22
BILL NELSON SAYS DONALD TRUMP INTENDS TO EXPAND OIL DRILLING,Tampa Bay Times,2016-11-22
Trump's energy policy perils; His embrace of fossil fuels and plans to undo the steps by Obama put the environment at risk.,Los Angeles Times,2016-11-22
It may soon be U.S. against the world on climate change; But Trump is likely to meet broad resistance if he tries to reverse global warming policy.,Los Angeles Times,2016-11-27
Landmark Clean Power policy likely doomed in Trump presidency,Arizona Capitol Times,2016-11-28
Trump's daughter goes green as dad tears down climate policy,Washington Examiner,2016-12-01
"Trump, former vice-president meet to discuss climate policy",The Hindustan Times,2016-12-07
Top Dem lobs first bill targeting Trump's EPA pick,Washington Examiner,2016-12-08
Trump's pick on housing against climate policy,The Korea Times,2016-12-09
"Exxon chief has admirers, detractors: Trump's choice to lead state seen as pragmatic, a foe to climate policy.",Dayton Daily News,2016-12-16
Trump climate policy may impact trade,The Ithaca Journal,2016-12-23
Weak Federal Powers Could Limit Trump's Climate-Policy Rollback,The New York Times,2017-01-03
Trump's climate-policy rollback may not be easy,IANS English,2017-01-03
"Legislation would end Dominion rate fix: Freeze was enacted in response to Clean Power Plan, which could end under Trump: Politics",Daily Press,2017-01-15
"Rocky road for climate policy: Thanks to its receding economic heft, a Trump-led US pull out from the Paris deal will have a limited impact",DNA : Daily News & Analysis,2017-01-18
State's climate policy powers at risk; Trump's EPA pick casts doubt on whether California can maintain stricter emissions standards.,Los Angeles Times,2017-01-19
"Bills would help, hurt illegal immigrants: Legislation comes during what some call a 'hostile' climate due to Trump's rhetoric: Politics",Daily Press,2017-01-21
Don't follow Trump on climate policy,Toronto Star,2017-01-23
EPA mum on Trump order's effect on East Chicago cleanup,Chicago Tribune,2017-01-25
NJ Democratic Leader Blasts Trump EPA Gag Order,The New York Observer,2017-01-25
Why did Trump order a media blackout for the EPA? Can he do that?,The Christian Science Monitor,2017-01-25
"EPA science under Trump gag order: Studies, data must undergo political review before release to public; but no mention of climate change",Waterloo Region Record,2017-01-26
"Doubts plague EPA-funded sites: Trump freezes the environmental agency's grants and contracts, then issues a gag order, making answers difficult to come by for several Maine officials.",Portland Press Herald,2017-01-27
Ojakian: Connecticut campus climate future hazy with Trump order on immigration,New Haven Register,2017-01-30
US will change course on climate policy: Trump official,Egypt Independent,2017-01-30
Climate policy in the age of Trump,The New Nation,2017-02-02
California's climate policy depends on federal waivers -- what if Trump doesn't grant them?,Daily News,2017-02-04
California’s climate policy depends on federal waivers — what if Trump doesn’t grant them?,San Gabriel Valley Tribune,2017-02-04
The meaning of Concord community; Van Loendersloot for Weare selectman; Sununu and the minimum wage; The clowns in the White House; Youngs was an exceptional doctor; Thanks for voting for Donald Trump; Edelblut is a great choice; Wise words,Concord Monitor,2017-02-07
Trump signs bill squashing Obama-era financial rule for fossil fuels,Washington Examiner,2017-02-14
Trump executive order scraps EPA water rule,Washington Examiner,2017-02-27
Trump Plans to Begin E.P.A. Rollback With Order on Clean Water: [Washington],New York Times,2017-03-01
"Worried about wetlands: Trump signs order calling on the EPA to review water rules curtailing economic growth, leaving environmentalists fearful",Daily Times,2017-03-01
Sullivan joins Trump for signing of executive order overturning EPA water rule,Alaska Dispatch News,2017-03-01
Trump administration takes aim at EPA policy,La Prensa,2017-03-01
California's climate policy may be at risk: Federal waivers depend upon Trump's approval,The Desert Sun,2017-03-04
Farmers relieved by Trump order: EPA to review and revise WOTUS rule president called a 'power grab',Lansing State Journal,2017-03-19
Local farmers relieved by new order regarding the Clean Water Act: EPA to review and revise rule Trump called a 'power grab',Lansing State Journal,2017-03-19
"Farmers relieved by Trump order: EPA to review, revise rule president called a 'power grab'",Lansing State Journal,2017-03-19
"Farmers relieved by Trump order to look at EPA rule: EPA to review, revise Clean Water Act rule president called a 'power grab'",Lansing State Journal,2017-03-19
Farmers relieved by order regarding Clean Water Act: EPA to review and revise rule Trump called a 'power grab',Lansing State Journal,2017-03-19
Farmers relieved by Trump order: EPA to review and revise rule president called 'nothing but a power grab',Lansing State Journal,2017-03-26
Trump's newest order looks to block Obama's climate legacy,Washington Examiner,2017-03-27
Trump To Sign Order Repealing Obama Plan To Curb Global Warming: EPA Chief,RTTNews,2017-03-27
Trump to sign executive order undoing Obama's clean power plan,Asian News International,2017-03-27
President Trump's executive order will undo Obama's Clean Power Plan rule,USA Today (Online),2017-03-27
Trump plans order to reverse EPA rule,Dayton Daily News,2017-03-27
Trump to visit EPA for executive order signing,Washington Examiner,2017-03-27
Trump signs order to roll back Obama climate measures,Vanguard,2017-03-28
Trump to sign order undoing Obama-era climate policies,Vanguard,2017-03-28
Trump to sign climate-change order,IANS English,2017-03-28
Trump climate change order expected today,Charleston Gazette - Mail,2017-03-28
Trump order softens laws on climate change,Boston Globe (Online),2017-03-28
Trump's climate order could take some time,Washington Examiner,2017-03-28
"Clean Power Plan undone by Trump executive order, reining in one of Obama's costliest regulations",Washington Examiner,2017-03-28
"Energy independence, not climate change, becomes priority under Trump order",USA Today (Online),2017-03-28
Hillary Clinton: Trump's order to undo Obama climate plan puts 'American lives at risk',Washington Examiner,2017-03-28
Trump to sign executive order to reverse Obama's climate policies,IANS English,2017-03-28
Trump to sign order sweeping away Obama-era climate policies,The Peninsula,2017-03-28
Green Group To Challenge Trump Order Repealing Climate Change Policies,RTTNews,2017-03-28
U.S. News: Trump Moves To Roll Back Obama Policy On Climate,Wall Street Journal,2017-03-28
Texas GOP welcomes Trump order repealing climate regulations,The Texas Tribune,2017-03-28
Trump's executive order rolling back Obama's climate regulations: FULL TEXT,Washington Examiner,2017-03-28
Trump to sign order reversing Obama's climate policies,MaltaToday,2017-03-28
Trump tears up US climate policy [Eire Region],Daily Express,2017-03-29
Trump's energy order diverts climate focus: Environmentalists protest president's 'new era' of production,The Post - Crescent,2017-03-29
"Strong reaction to Trump order on energy, climate",Courier - Journal,2017-03-29
TRUMP SIGNS RULE TO BLOCK EFFORTS ON AIDING CLIMATE: Executive Order Is Intended to Dismantle Obama Plan on Curbing Carbon,New York Times (1923-),2017-03-29
Trump signs order dismantling Obama-era climate policies,Businessline,2017-03-29
Trump's order undoing climate policies met with NY opposition,Newsday,2017-03-29
Trump signs executive order unwinding Obama climate policies,Vietnam News Gazette,2017-03-29
Trump signs order undoing Obama climate change policies,IANS English,2017-03-29
"President Trump goes in reverse on the environment: Fundamental dishonesty is at the heart of Trump's executive order, which seeks to unravel large parts of former President Barack Obama's climate change policy.",Newsday,2017-03-29
Trump signs climate order [Northeast Region],Daily Post,2017-03-29
Trump Ends 'War On Coal'; Executive Order Reverses Obama Climate-Change Measures,National Post,2017-03-29
