Date,Close,High,Low,Open,Volume,Log_Return
2014-12-04,28447.69922,30096.90039,27953,28200.40039,811330,
2014-12-05,26056.5,27540.69922,25974,26551.19922,377529,-0.087800029
2014-12-08,23582.80078,26056.5,23582.80078,25231.90039,367585,-0.0997495913
2014-12-09,21274,23582.80078,21274,23582.80078,570963,-0.103031996
2014-12-10,19295,20202,19212.5,19789.69922,539795,-0.0976396748
2014-12-11,17728.30078,19295,17398.5,18635.30078,1053637,-0.0846837181
2014-12-12,19047.59961,19295,17233.59961,17645.80078,1117064,0.071778812
2014-12-15,19212.5,19872.19922,18800.19922,19377.40039,1274964,0.00862001999
2014-12-16,17480.90039,19047.59961,17316,18552.90039,857050,-0.0944522302
2014-12-17,16409,17728.30078,16079.2002,16573.90039,1354314,-0.0632789139
2014-12-18,17563.40039,17645.80078,16491.40039,16491.40039,662974,0.0679872488
2014-12-19,16738.80078,17563.40039,16161.59961,17316,518451,-0.048087789
2014-12-22,16821.30078,17233.59961,16079.2002,16491.40039,1007310,0.00491656237
2014-12-23,18470.40039,18470.40039,16491.40039,16491.40039,1508297,0.0935234849
2014-12-24,18800.19922,20037.09961,18470.40039,19954.59961,1577424,0.0176979947
2014-12-26,17068.59961,18305.5,16986.19922,17893.19922,700848,-0.0966269712
2014-12-29,15914.2002,17893.19922,15419.5,16491.40039,1454027,-0.0700286906
2014-12-30,16409,17233.59961,14594.90039,15666.90039,1217844,0.0306181601
2014-12-31,16903.69922,17480.90039,15914.2002,15914.2002,796555,0.0297025219
2015-01-02,16903.69922,16903.69922,16903.69922,16903.69922,0,0
2015-01-05,16821.30078,17316,16491.40039,16491.40039,396691,-0.00488649972
2015-01-06,18470.40039,18470.40039,15666.90039,16491.40039,1063824,0.0935234849
2015-01-07,19872.19922,20284.5,18965.19922,20284.5,1314257,0.0731522589
2015-01-08,20119.59961,21521.30078,19377.40039,19377.40039,926165,0.0123727141
2015-01-09,20614.30078,21356.40039,20119.59961,20614.30078,550952,0.0242906027
2015-01-12,18965.19922,21026.59961,18717.80078,21026.59961,634632,-0.083379368
2015-01-13,19707.30078,20037.09961,17728.30078,18140.59961,871992,0.0383834855
2015-01-14,20119.59961,20449.40039,18965.19922,18965.19922,1372020,0.0207052798
2015-01-15,22098.5,22098.5,19624.80078,20119.59961,1815717,0.093815288
2015-01-16,21521.30078,22923.09961,21438.90039,22428.40039,1239428,-0.0264665542
2015-01-20,21109,21521.30078,20944.09961,21109,519663,-0.0193436889
2015-01-21,21109,22181,21026.59961,21109,674289,0
2015-01-22,21026.59961,21438.90039,20614.30078,21191.5,421406,-0.00391120556
2015-01-23,21851.19922,21933.59961,20861.69922,21851.19922,891905,0.0384675199
2015-01-26,22016.09961,22758.19922,21026.59961,22181,654764,0.00751818196
2015-01-27,21438.90039,22181,20944.09961,22016.09961,1206929,-0.026566939
2015-01-28,21438.90039,21851.19922,20944.09961,21026.59961,366614,0
2015-01-29,22758.19922,22758.19922,20614.30078,21026.59961,680280,0.0597184385
